GEO_ID,NAME,id_Fix,Commutetime,Commutetime_z,INDEX_Commute,Laborforcepart,Laborforcepart_z,"INDEX_Employment, ",Belowpov_act,Belowpov,Belowpov_z,INDEX_poverty,Workedfull,Workedfull_z,"INDEX_Hours, ",BelowPovSNAP,BelowPovSNAP_z,INDEX_SNAP,Averagez,INDEXoverall,County,Tract Name,Ranking Overall,Quintile,Commute Time,% Employed,% Below Poverty,Median Hours Worked,% Living in Poverty Receiving SNAP
1400000US16027021904,"Census Tract 219.04, Canyon County, Idaho",16027021904,39.605,-0.251039851,4,50.3,-1.101227231,5,25.8,74.2,6.390669529,5,53.5,-0.522152919,4,47.30878187,0.087822709,3,4.604072237,5," Canyon County, Idaho","Census Tract 219.04, Canyon County, Idaho",39,5,39.605,50.3,25.8,53.5,47.30878187
1400000US16027022100,"Census Tract 221, Canyon County, Idaho",16027022100,39.52,-1.673599009,5,57.5,-0.183735437,3,15.5,84.5,7.561961701,3,61,0.690189171,2,39.66101695,-0.346143629,4,6.048672797,4," Canyon County, Idaho","Census Tract 221, Canyon County, Idaho",32,4,39.52,57.5,15.5,61,39.66101695
1400000US16027022200,"Census Tract 222, Canyon County, Idaho",16027022200,39.5983,-0.362613119,4,57.4,-0.196478378,4,13.1,86.9,7.834884149,2,58.5,0.286075141,2,47.6635514,0.107953824,3,7.669821618,3," Canyon County, Idaho","Census Tract 222, Canyon County, Idaho",23,3,39.5983,57.4,13.1,58.5,47.6635514
1400000US16027022300,"Census Tract 223, Canyon County, Idaho",16027022300,39.57,-0.836799505,5,54.7,-0.540537801,5,7.5,92.5,8.471703194,1,56.4,-0.053380644,3,36.36363636,-0.533250868,4,6.507734376,4," Canyon County, Idaho","Census Tract 223, Canyon County, Idaho",29,4,39.57,54.7,7.5,56.4,36.36363636
1400000US16027022400,"Census Tract 224, Canyon County, Idaho",16027022400,39.5567,-1.059946039,5,53.8,-0.655224276,5,8.9,91.1,8.312498433,1,53.1,-0.586811164,5,20.13888889,-1.45391126,5,4.556605694,5," Canyon County, Idaho","Census Tract 224, Canyon County, Idaho",40,5,39.5567,53.8,8.9,53.1,20.13888889
1400000US41045940000,"Census Tract 9400, Malheur County, Oregon",41045940000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na," Malheur County, Oregon","Census Tract 9400, Malheur County, Oregon",na,na,na,na,na,na,na
1400000US16075960100,"Census Tract 9601, Payette County, Idaho",16075960100,39.7033,1.394665841,1,62.1,0.402439876,2,10.3,89.7,8.153293672,2,62.4,0.916493028,1,14.88095238,-1.752268686,5,9.114623731,1," Payette County, Idaho","Census Tract 9601, Payette County, Idaho",8,1,39.7033,62.1,10.3,62.4,14.88095238
1400000US16075960200,"Census Tract 9602, Payette County, Idaho",16075960200,39.73,1.84095891,1,58.4,-0.069048963,3,15.7,84.3,7.539218164,3,57.7,0.156758652,3,46.82539683,0.06039341,3,9.528280173,1," Payette County, Idaho","Census Tract 9602, Payette County, Idaho",2,1,39.73,58.4,15.7,57.7,46.82539683
1400000US16075960300,"Census Tract 9603, Payette County, Idaho",16075960300,39.6583,0.641546287,2,57.8,-0.145506612,3,13,87,7.846255918,2,58.9,0.350733386,2,44.38202247,-0.078253925,3,8.614775054,2," Payette County, Idaho","Census Tract 9603, Payette County, Idaho",13,2,39.6583,57.8,13,58.9,44.38202247
1400000US16075960400,"Census Tract 9604, Payette County, Idaho",16075960400,39.6367,0.278933168,2,61,0.262267519,3,17.1,82.9,7.380013403,3,61,0.690189171,2,51.27272727,0.312753639,3,8.9241569,2," Payette County, Idaho","Census Tract 9604, Payette County, Idaho",10,2,39.6367,61,17.1,61,51.27272727
1400000US16087970100,"Census Tract 9701, Washington County, Idaho",16087970100,39.6467,0.446293069,2,52.3,-0.8463684,5,17.9,82.1,7.289039253,3,52.9,-0.619140286,5,35.18518519,-0.600121143,4,5.669702494,4," Washington County, Idaho","Census Tract 9701, Washington County, Idaho",34,4,39.6467,52.3,17.9,52.9,35.18518519
1400000US41045970200,"Census Tract 9702, Malheur County, Oregon",41045970200,39.7333,1.896745544,1,55.1,-0.489566035,4,21.1,78.9,6.925142656,4,57.2,0.075935846,3,59.60912052,0.785795644,2,9.194053655,1," Malheur County, Oregon","Census Tract 9702, Malheur County, Oregon",7,1,39.7333,55.1,21.1,57.2,59.60912052
1400000US16087970200,"Census Tract 9702, Washington County, Idaho",16087970200,39.6767,0.948372772,1,55.7,-0.413108385,4,15.5,84.5,7.561961701,3,62.1,0.867999345,1,47.34693878,0.089987893,3,9.055213325,1," Washington County, Idaho","Census Tract 9702, Washington County, Idaho",9,1,39.6767,55.7,15.5,62.1,47.34693878
1400000US41045970300,"Census Tract 9703, Malheur County, Oregon",41045970300,39.77,2.510398514,1,52.9,-0.76991075,5,25,75,6.481643678,5,53,-0.602975725,5,68.21917808,1.274366513,1,8.893522231,2," Malheur County, Oregon","Census Tract 9703, Malheur County, Oregon",11,2,39.77,52.9,25,53,68.21917808
1400000US16087970300,"Census Tract 9703, Washington County, Idaho",16087970300,39.675,0.920479455,1,52.6,-0.808139575,5,15.1,84.9,7.607448776,3,55.7,-0.166532572,4,52.6119403,0.388746217,2,7.942002301,3," Washington County, Idaho","Census Tract 9703, Washington County, Idaho",21,3,39.675,52.6,15.1,55.7,52.6119403
1400000US41045970400,"Census Tract 9704, Malheur County, Oregon",41045970400,39.675,0.920479455,1,61.5,0.325982227,2,35.5,64.5,5.287607969,5,56.2,-0.085709766,4,75.44715447,1.684512285,1,8.132872169,3," Malheur County, Oregon","Census Tract 9704, Malheur County, Oregon",19,3,39.675,61.5,35.5,56.2,75.44715447
1400000US41045970500,"Census Tract 9705, Malheur County, Oregon",41045970500,39.6333,0.223146535,3,61,0.262267519,3,19.8,80.2,7.072975649,4,57.7,0.156758652,3,57.89473684,0.688514306,2,8.40366266,3," Malheur County, Oregon","Census Tract 9705, Malheur County, Oregon",18,3,39.6333,61,19.8,57.7,57.89473684
1400000US41045970600,"Census Tract 9706, Malheur County, Oregon",41045970600,39.64,0.334719802,2,54.9,-0.515051918,4,21,79,6.936514425,4,54.1,-0.425165552,4,60.29962547,0.824977798,1,7.155994555,3," Malheur County, Oregon","Census Tract 9706, Malheur County, Oregon",26,3,39.64,54.9,21,54.1,60.29962547
1400000US41045970700,"Census Tract 9707, Malheur County, Oregon",41045970700,39.625,0.08367995,3,57.9,-0.132763671,3,15.1,84.9,7.607448776,3,58.3,0.253746019,3,32.03883495,-0.778658285,5,7.03345279,4," Malheur County, Oregon","Census Tract 9707, Malheur County, Oregon",27,4,39.625,57.9,15.1,58.3,32.03883495
1400000US41045970900,"Census Tract 9709, Malheur County, Oregon",41045970900,39.6367,0.278933168,2,24.1,-4.439877928,5,14.3,85.7,7.698422925,2,27.5,-4.724938831,5,29.76190476,-0.907860878,5,-2.095321543,5," Malheur County, Oregon","Census Tract 9709, Malheur County, Oregon",43,5,39.6367,24.1,14.3,27.5,29.76190476
,,stdev,0.059751469,,,7.847481627,,,8.793706851,8.793706851,,,6.186372692,,,17.62294502,,,,,,,,,,,,,
,,mean,39.62,,,58.94186047,,,18.00232558,81.99767442,,,56.73023256,,,45.76108709,,,,,,,,,,,,,
