GEO_ID,id_Fix,NAME,BelowPovSNAP,B22003_001E,B22003_001M,B22003_002E,B22003_002M,B22003_003E,B22003_003M,B22003_004E,B22003_004M,B22003_005E,B22003_005M,B22003_006E,B22003_006M,B22003_007E,B22003_007M
1400000US16027021200,16027021200,"Census Tract 212, Canyon County, Idaho",51.82370821,2511,153,509,188,341,149,168,112,2002,210,317,155,1685,231
1400000US16027022200,16027022200,"Census Tract 222, Canyon County, Idaho",47.6635514,1771,112,308,79,102,41,206,70,1463,124,112,45,1351,127
1400000US16027020100,16027020100,"Census Tract 201, Canyon County, Idaho",59.64912281,499,60,114,47,68,35,46,28,385,52,46,25,339,54
1400000US16027020300,16027020300,"Census Tract 203, Canyon County, Idaho",57.20720721,1707,105,372,113,254,104,118,45,1335,141,190,93,1145,148
1400000US16027021500,16027021500,"Census Tract 215, Canyon County, Idaho",58.62068966,1566,120,426,106,221,84,205,103,1140,146,156,84,984,143
1400000US16027021600,16027021600,"Census Tract 216, Canyon County, Idaho",75,1624,109,528,117,276,91,252,96,1096,118,92,66,1004,101
1400000US16027021100,16027021100,"Census Tract 211, Canyon County, Idaho",66.11111111,6203,226,874,267,357,162,517,228,5329,338,183,178,5146,362
1400000US16027020401,16027020401,"Census Tract 204.01, Canyon County, Idaho",41.3961039,3304,191,512,177,255,122,257,118,2792,238,361,141,2431,265
1400000US16027020402,16027020402,"Census Tract 204.02, Canyon County, Idaho",31.40877598,2194,155,353,161,136,78,217,142,1841,191,297,145,1544,181
1400000US16027020501,16027020501,"Census Tract 205.01, Canyon County, Idaho",22.42990654,1282,76,89,49,24,30,65,42,1193,84,83,49,1110,90
1400000US16027020503,16027020503,"Census Tract 205.03, Canyon County, Idaho",43.94618834,1200,64,154,59,98,47,56,34,1046,85,125,63,921,103
1400000US16027020504,16027020504,"Census Tract 205.04, Canyon County, Idaho",52.3381295,2092,155,487,167,291,147,196,93,1605,195,265,114,1340,201
1400000US16027020601,16027020601,"Census Tract 206.01, Canyon County, Idaho",44.57142857,1702,101,213,80,78,53,135,61,1489,130,97,70,1392,132
1400000US16027020602,16027020602,"Census Tract 206.02, Canyon County, Idaho",55.23809524,2606,198,537,172,232,134,305,128,2069,247,188,115,1881,257
1400000US16027020901,16027020901,"Census Tract 209.01, Canyon County, Idaho",3.546099291,4572,220,181,129,15,28,166,126,4391,230,408,208,3983,267
1400000US16027020902,16027020902,"Census Tract 209.02, Canyon County, Idaho",33.39731286,5186,305,707,280,174,140,533,255,4479,398,347,183,4132,384
1400000US16027021001,16027021001,"Census Tract 210.01, Canyon County, Idaho",37.16216216,4318,223,740,242,165,125,575,223,3578,308,279,112,3299,321
1400000US16027021002,16027021002,"Census Tract 210.02, Canyon County, Idaho",33.16993464,4153,204,513,179,203,133,310,137,3640,244,409,183,3231,252
1400000US16027021903,16027021903,"Census Tract 219.03, Canyon County, Idaho",27.91411043,3527,189,195,95,91,61,104,76,3332,215,235,148,3097,251
1400000US16027021904,16027021904,"Census Tract 219.04, Canyon County, Idaho",47.30878187,1310,97,218,87,167,84,51,30,1092,119,186,86,906,107
1400000US16075960100,16075960100,"Census Tract 9601, Payette County, Idaho",14.88095238,2431,165,220,95,50,50,170,78,2211,198,286,141,1925,204
1400000US16075960200,16075960200,"Census Tract 9602, Payette County, Idaho",46.82539683,1436,134,328,100,118,74,210,85,1108,159,134,66,974,165
1400000US16075960300,16075960300,"Census Tract 9603, Payette County, Idaho",44.38202247,3067,252,339,136,158,88,181,105,2728,251,198,119,2530,243
1400000US16075960400,16075960400,"Census Tract 9604, Payette County, Idaho",51.27272727,1834,159,270,93,141,71,129,68,1564,156,134,54,1430,148
1400000US16087970200,16087970200,"Census Tract 9702, Washington County, Idaho",47.34693878,1542,100,238,87,116,67,122,65,1304,124,129,65,1175,120
1400000US16087970100,16087970100,"Census Tract 9701, Washington County, Idaho",35.18518519,737,82,60,29,38,24,22,15,677,76,70,31,607,67
1400000US16087970300,16087970300,"Census Tract 9703, Washington County, Idaho",52.6119403,1739,127,294,95,141,62,153,86,1445,137,127,53,1318,141
1400000US41045970300,41045970300,"Census Tract 9703, Malheur County, Oregon",68.21917808,1685,147,561,133,249,90,312,116,1124,150,116,54,1008,140
1400000US41045970400,41045970400,"Census Tract 9704, Malheur County, Oregon",75.44715447,1698,144,927,165,464,118,463,136,771,131,151,76,620,120
1400000US41045940000,41045940000,"Census Tract 9400, Malheur County, Oregon",#DIV/0!,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US41045970900,41045970900,"Census Tract 9709, Malheur County, Oregon",29.76190476,1070,113,125,34,50,25,75,26,945,105,118,57,827,100
1400000US41045970600,41045970600,"Census Tract 9706, Malheur County, Oregon",60.29962547,1518,113,331,86,161,64,170,60,1187,107,106,64,1081,114
1400000US41045970200,41045970200,"Census Tract 9702, Malheur County, Oregon",59.60912052,1813,128,378,104,183,90,195,79,1435,144,124,73,1311,143
1400000US41045970500,41045970500,"Census Tract 9705, Malheur County, Oregon",57.89473684,1694,135,499,90,176,55,323,91,1195,141,128,57,1067,133
1400000US41045970700,41045970700,"Census Tract 9707, Malheur County, Oregon",32.03883495,660,79,93,43,33,31,60,30,567,72,70,36,497,62
